m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
5000,15000,1000,0.98,random,exponential,1.0,LSMR,0.3732569787185639,0.002012340295216167,93.4,24.450389107617156,0.8461752316072115
5000,15000,1000,0.98,random,exponential,1.0,LSQR,0.3996418330818414,0.01838389375727457,97.3,24.45038910589987,0.8461752281303546
5000,15000,1000,0.99,random,exponential,1.0,CG,0.16278987401165065,0.00268084049516595,78.3,25.525679349902852,0.8612281150447766
5000,15000,1000,0.99,random,exponential,1.0,LSMR,0.14271788448095316,0.002300963880294559,71.9,25.525679350640562,0.8612281199192197
5000,15000,1000,0.99,random,exponential,1.0,LSQR,0.15345055954530834,0.0022306658999605654,74.4,25.525679350097707,0.86122811584891
5000,15000,1000,0.999,random,exponential,1.0,CG,0.01835784739814694,0.0008692664903824322,36.6,24.70635837881438,0.9279682713416273
5000,15000,1000,0.999,random,exponential,1.0,LSMR,0.014132426353171421,0.0003926575063584912,33.6,24.706358378768847,0.9279682743078921
5000,15000,1000,0.999,random,exponential,1.0,LSQR,0.01656351718120274,0.00043625856973808405,33.6,24.706358378714857,0.9279682729543358
5000,15000,10000,0.95,random,exponential,1.0,CG,1.5491946179885416,0.01642554030750886,147.0,22.907632256918358,0.8528614604571982
5000,15000,10000,0.95,random,exponential,1.0,LSMR,1.5383882853668183,0.4135300115285233,134.5,22.907632264305338,0.8528614788245801
5000,15000,10000,0.95,random,exponential,1.0,LSQR,1.8110829627141356,0.4640661165104718,142.1,22.907632256008945,0.8528614620226147
5000,15000,20000,0.95,random,exponential,1.0,CG,1.556791294598952,0.018610537712586347,146.4,22.774065759912165,0.859593548004522
5000,15000,20000,0.95,random,exponential,1.0,LSMR,1.3999809911008925,0.029951091797479283,134.0,22.774065767286324,0.8595935727010083
5000,15000,20000,0.95,random,exponential,1.0,LSQR,1.6896622287575156,0.22079838619234704,141.7,22.774065758982694,0.859593550078246
5000,20000,1000,0.95,random,exponential,1.0,CG,1.648070454224944,0.011082172840731996,123.9,18.337287721633277,0.8683396204601781
5000,20000,1000,0.95,random,exponential,1.0,LSMR,1.55906170187518,0.01855246451589738,116.0,18.337287726254026,0.8683396204787511
5000,20000,1000,0.95,random,exponential,1.0,LSQR,1.6290194478351623,0.01299962298008372,121.7,18.337287721604362,0.8683396204594918
5000,40000,1000,0.95,random,exponential,1.0,CG,1.6442524829879404,0.005952715503733769,62.1,9.246028169693002,0.9352512577099968
5000,40000,1000,0.95,random,exponential,1.0,LSMR,1.69107588166371,0.031266762281246696,62.0,9.246028169919958,0.9352512577102651
5000,40000,1000,0.95,random,exponential,1.0,LSQR,1.71319486964494,0.014871910336451775,63.7,9.246028169677013,0.9352512577101535
