Solver,Lambda,Time (s),Iterations,Residual,Relative Residual,Normal Equation Residual,Relative Normal Equation Residual,Objective,Info,Converged,Preconditioner,Matrix-Free,Dataset,Group,m,n,Nonzeros,Density,RHS Type,Run,RTOL,Max Iterations
LSQR,0.1,1.2765841861255467,222,6.163365540330927,0.09244795534559919,1.8275255237634366e-05,9.945090208288753e-08,291.5890014612198,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,1,1e-08,5000
LSMR,0.1,1.1436567520722747,206,6.1633655487365075,0.09244795547167944,1.8167425314292517e-05,9.88641095588744e-08,291.5890014626514,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,1,1e-08,5000
PCG,0.1,1.100382688920945,210,6.163365539903321,0.09244795533918526,1.6618934543904266e-06,9.04374801093986e-09,291.58900146110284,0,True,Jacobi diagonal,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,2,1e-08,5000
LSQR,0.1,1.2658670912496746,222,6.163365540330927,0.09244795534559919,1.8275255237634366e-05,9.945090208288753e-08,291.5890014612198,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,2,1e-08,5000
LSMR,0.1,1.1539055821485817,206,6.1633655487365075,0.09244795547167944,1.8167425314292517e-05,9.88641095588744e-08,291.5890014626514,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,2,1e-08,5000
PCG,0.1,1.087560267187655,210,6.163365539903321,0.09244795533918526,1.6618934543904266e-06,9.04374801093986e-09,291.58900146110284,0,True,Jacobi diagonal,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,3,1e-08,5000
LSQR,0.1,1.2762905140407383,222,6.163365540330927,0.09244795534559919,1.8275255237634366e-05,9.945090208288753e-08,291.5890014612198,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,3,1e-08,5000
LSMR,0.1,1.1568905650638044,206,6.1633655487365075,0.09244795547167944,1.8167425314292517e-05,9.88641095588744e-08,291.5890014626514,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,3,1e-08,5000
PCG,1.0,0.33321477100253105,59,26.831431800586778,0.4024604727283385,1.1386137969495579e-06,6.196147071996412e-09,1478.5544606592116,0,True,Jacobi diagonal,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,1,1e-08,5000
LSQR,1.0,0.4904558430425823,82,26.831431793170697,0.40246047261710033,2.1702731480800952e-05,1.181026582317503e-07,1478.5544606592593,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,1,1e-08,5000
LSMR,1.0,0.4568261010572314,78,26.831431793297767,0.40246047261900636,2.4273904842644418e-05,1.320945563979793e-07,1478.554460659497,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,1,1e-08,5000
PCG,1.0,0.3427197923883796,59,26.831431800586778,0.4024604727283385,1.1386137969495579e-06,6.196147071996412e-09,1478.5544606592116,0,True,Jacobi diagonal,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,2,1e-08,5000
LSQR,1.0,0.4932837360538542,82,26.831431793170697,0.40246047261710033,2.1702731480800952e-05,1.181026582317503e-07,1478.5544606592593,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,2,1e-08,5000
LSMR,1.0,0.45735168270766735,78,26.831431793297767,0.40246047261900636,2.4273904842644418e-05,1.320945563979793e-07,1478.554460659497,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,2,1e-08,5000
PCG,1.0,0.3379517770372331,59,26.831431800586778,0.4024604727283385,1.1386137969495579e-06,6.196147071996412e-09,1478.5544606592116,0,True,Jacobi diagonal,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,3,1e-08,5000
LSQR,1.0,0.48894232511520386,82,26.831431793170697,0.40246047261710033,2.1702731480800952e-05,1.181026582317503e-07,1478.5544606592593,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,3,1e-08,5000
LSMR,1.0,0.4607464661821723,78,26.831431793297767,0.40246047261900636,2.4273904842644418e-05,1.320945563979793e-07,1478.554460659497,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,3,1e-08,5000
