m,n,Condition Number,Sparsity,Sparsity Pattern,Spectrum,Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
1100,100,10,0.0,random,exponential,0,CG,0.001208712998777628,9.420134489536296e-06,65.8,0.3165233706673002,0.048834332249159444
1100,100,10,0.0,random,exponential,0,Direct,0.0008791807107627392,1.9681779309727336e-05,1.0,0.31652337066727787,0.048834327240067824
1100,100,10,0.0,random,exponential,0,LSMR,0.007255764119327069,9.849487544667099e-05,67.0,0.31652337066729486,0.048834336862111055
1100,100,10,0.0,random,exponential,0,LSQR,0.00725391348823905,6.005011581928579e-05,69.0,0.31652337066728187,0.048834329023099525
1100,500,10,0.0,random,exponential,0,CG,0.0064155755564570425,4.873364194706468e-05,80.6,0.2460740938735988,0.04632902479640436
1100,500,10,0.0,random,exponential,0,Direct,0.012542189005762339,7.647916898726763e-05,1.0,0.24607409387348272,0.04632902835436099
1100,500,10,0.0,random,exponential,0,LSMR,0.0258971675299108,0.00016700845264093313,85.6,0.2460740938735046,0.04632902706859903
1100,500,10,0.0,random,exponential,0,LSQR,0.026556314341723918,0.0002287758400644817,88.6,0.2460740938734868,0.046329028615883054
1100,2000,10,0.0,random,exponential,0,CG,0.09657127633690835,0.0013093181654771056,83.4,3.056410580965019e-07,0.6736966627739328
1100,2000,10,0.0,random,exponential,0,Direct,0.24192764991894364,0.006024940199331917,1.0,2.7448389067030557e-12,55.81373314784578
1100,2000,10,0.0,random,exponential,0,LSMR,0.07246105428785085,0.0007104449996978017,75.6,1.9361256562417833e-06,0.6736966618350946
1100,2000,10,0.0,random,exponential,0,LSQR,0.07081864159554244,0.0004824624735396571,74.2,1.9901446781340035e-06,0.6736966621196914
1100,2500,10,0.0,random,exponential,0,CG,0.15787426941096783,0.0007364011179161319,83.2,3.1399608580076676e-07,0.7543164890573749
1100,2500,10,0.0,random,exponential,0,Direct,0.4184828905388713,0.006256967597946995,1.0,9.220879951788071e-12,196.97523800154983
1100,2500,10,0.0,random,exponential,0,LSMR,0.09678768329322338,0.001623000457690376,75.4,2.005333520564533e-06,0.7543164891009367
1100,2500,10,0.0,random,exponential,0,LSQR,0.09765125978738069,0.004079194520822573,74.2,1.983734137077351e-06,0.7543164891045959
2100,50,10,0.0,random,exponential,0,CG,0.0008385706692934036,2.4621389565236268e-05,50.4,0.4535297913511651,0.04583066427485033
2100,50,10,0.0,random,exponential,0,Direct,0.0006956497207283973,2.862110298658945e-05,1.0,0.4535297913511499,0.04583067200691097
2100,50,10,0.0,random,exponential,0,LSMR,0.005437704455107451,0.00019226868770048482,51.2,0.45352979135116234,0.04583065821981645
